Comment,Designator,Footprint,JLCPCB Part #（optional）
CL21B104KBCNNNC,C1,0805,C1711
HHV0805R7105K101NSLJ,C2,0805,C22367837
DG636-7.62-02P-14-00A(H),J2,"插件,P=7.62mm",C581337
SI2306,Q1_N,SOT-23,C727154
AO3407,Q2_P,SOT-23,C727158
0805W8F3300T5E,R7,0805,C17630
0805W8F1002T5E,R10,0805,C17414
0805W8F4701T5E,R3_4K7,0805,C17673
0805W8F4700T5E,R5_470,0805,C17710
0805W8F1004T5E,R61M,0805,C17514
3362P-1-203LF,RP1,"插件-3P,7x6.6mm",C81263
3362P-1-104LF,RP3,"插件-3P,7x6.6mm",C81266
TLV1805DBVR,U1,SOT-23-6,C702104
LM317LCDR,U2,SOIC-8,C105219
