Designator,Mid X,Mid Y,Rotation,Layer
C1,53.138376,-86.0375,90.0,top
C2,58.5,-86.0375,90.0,top
J1,72.5,-88.0,0.0,top
J2,56.5,-51.0,0.0,top
J3,75.5,-88.0,0.0,top
J5,71.85,-55.5,180.0,top
Q1_N,72.8,-75.4,0.0,top
Q2_P,72.85,-70.95,0.0,top
R1,70.58,-63.0,0.0,top
R10,74.0,-80.5,90.0,top
R2,70.58,-67.5,180.0,top
R3_4K7,58.5,-94.5,180.0,top
R3_P1,49.66,-63.0,180.0,top
R3_P2,49.66,-71.5,180.0,top
R3_P3,49.66,-80.0,180.0,top
R4,44.58,-86.5,0.0,top
R5_470,58.5,-90.0,180.0,top
R61M,64.0,-94.5,180.0,top
R7,74.0,-84.5,90.0,top
RP1,67.77,-73.04,270.0,top
RP3,65.23,-82.0,90.0,top
U1,64.0,-89.0,0.0,top
U2,51.5,-92.0,270.0,top
